baby	babyish	形	赤ちゃんじみた・幼稚な
N	stream	streamer	別意
test	tester	名	試験する人・試供品（テスター）
N	test	tester	人物
trust	trustee	名	受託者・理事
vacation	vacationer	名	行楽客・休暇中の人
N	vacation	vacationer	人物
N	vacancy	vacationer	人物
wipe	wiper	名	（車の）ワイパー・ふく物
absent	absentee	名	欠席者・不在者
address	addressee	名	受取人・名あて人
N	address	addressee	人物
bloom	bloomer	名	花が咲く植物（a late bloomer＝遅咲きの人・大器晩成の人）
boil	boiler	名	ボイラー・湯沸かし器
burn	burner	名	バーナー・コンロ（put ... on the back burner＝後回しにする）
chat	chatter	動	ぺちゃくちゃしゃべる・（歯が）ガチガチ鳴る
U	chat	chatter	chat は「おしゃべりする・雑談する」（chatter を短くした語）。chatter は「ぺちゃくちゃしゃべり続ける」で、寒さで歯が「ガチガチ鳴る」にも使う
chop	chopper	名	ヘリコプター（くだけた言い方）・なた
clip	clipper	名	（clippers で）はさみ・つめ切り
coast	coaster	名	コースター（コップ敷き）・（roller coaster で）ジェットコースター
N	coast	coaster	別意
common	commoner	名	平民・庶民
cream	creamer	名	（コーヒーなどに入れる）クリーム・ミルク
U	cream	creamer	cream は「クリーム」（乳脂肪）。creamer はコーヒーなどに入れるクリームで、粉や植物性の代用品も言う
curl	curler	名	カーラー（髪を巻く道具）
decorate	decorator	名	室内装飾業者・飾りつける人
R	a	aer	非語
R	a	aist	非語
R	a	award	別語
R	air	airship	複合
R	all	aller	非語
R	all	allor	非語
R	all	allee	非語
R	all	allure	別語
R	am	amer	非語
R	am	amor	まれ
R	am	amery	非語
R	am	amity	別語
R	am	amish	非語
R	an	any	遠縁
R	apple	apply	別語
R	are	arian	非語
R	arm	armer	まれ
R	arm	armor	同音
R	arm	army	同音
R	ask	asker	まれ
R	ask	askance	別語
R	baby	babyhood	まれ
R	bad	bader	非語
R	ball	baller	まれ
R	ball	ballor	非語
R	be	beer	別語
R	be	bean	別語
R	be	ban	別語
R	be	beery	別語
R	be	bee	別語
R	be	bess	非語
R	be	bish	非語
R	be	bless	別語
R	be	bed	別語
R	be	bent	別語
R	be	been	変化
R	bear	bearer	同音
R	bell	beller	非語
R	best	bester	非語
R	better	bet	別語
R	big	bigger	変化
R	bird	birder	まれ
R	black	blacker	変化
R	blue	bluer	変化
R	blue	blueish	別つづり
R	book	booker	まれ
R	both	bother	別語
R	box	boxer	同音
R	boy	boyer	非語
R	brown	browner	変化
R	bus	buser	非語
R	bus	busser	まれ
R	busy	busier	変化
R	call	callery	非語
R	call	callous	別語
R	can	canner	同音
R	can	cannery	同音
R	can	canny	遠縁
R	car	carer	別語
R	car	carrian	非語
R	car	carry	遠縁
R	car	caress	別語
R	card	carder	同音
R	cat	cater	別語
R	chalk	chalker	まれ
R	cheese	cheeser	まれ
R	clock	clocker	まれ
R	close	closer	変化
R	cold	colder	変化
R	come	comer	まれ
R	come	comity	別語
R	come	comical	別語
R	come	comic	別語
R	comic	come	別語
R	cow	cower	別語
R	curry	currier	同音
R	curry	cure	別語
R	cute	cuter	変化
R	dark	darker	変化
R	day	dairy	別語
R	dear	dearer	変化
R	deep	deeper	変化
R	dirty	dirtier	変化
R	dish	disher	まれ
R	down	downer	まれ
R	duck	ducker	まれ
R	east	easter	非語
R	easy	easier	変化
R	egg	egger	非語
R	empty	emptier	変化
R	end	ender	まれ
R	end	endure	別語
R	evening	even	別語
R	every	ever	遠縁
R	eye	eyer	非語
R	face	facer	まれ
R	far	farrer	非語
R	far	farish	非語
R	far	farrish	非語
R	fast	faster	変化
R	father	fatheree	非語
R	finish	finisher	まれ
R	finish	fin	別語
R	finish	fine	遠縁
R	fish	fisher	まれ
R	flag	flagship	複合
R	flat	flater	非語
R	flat	flattery	別語
R	flat	flattish	まれ
R	foot	footer	まれ
R	fork	forker	非語
R	forty	fortier	非語
R	free	freer	変化
R	fresh	fresher	変化
R	friendly	friendlier	変化
R	full	fuller	変化
R	funny	funnier	変化
R	get	geter	非語
R	get	getter	まれ
R	glove	glover	まれ
R	go	goer	まれ
R	good	gooder	非語
R	grape	graper	非語
R	great	greater	変化
R	green	greener	変化
R	had	hader	非語
R	hand	hander	まれ
R	happy	happier	変化
R	hard	harder	変化
R	hard	hardee	非語
R	hard	hardy	遠縁
R	has	haser	非語
R	hat	hater	別語
R	hat	hatter	まれ
R	hat	hattery	非語
R	have	haver	まれ
R	have	haven	別語
R	head	headship	まれ
R	hear	hearer	まれ
R	hen	henner	非語
R	hen	henery	非語
R	hen	henness	非語
R	hi	hier	非語
R	high	higher	変化
R	his	hiser	非語
R	hot	hotter	変化
R	house	houser	非語
R	how	hower	非語
R	how	howery	非語
R	hungry	hungrier	変化
R	is	iser	非語
R	kettle	kettler	非語
R	kick	kicker	まれ
R	kid	kidder	まれ
R	kind	kinder	変化
R	know	knower	まれ
R	large	larger	変化
R	large	largess	まれ
R	last	laster	非語
R	last	lasting	同音
R	late	latent	別語
R	left	leftism	まれ
R	leg	leger	非語
R	life	lifer	まれ
R	light	lightship	まれ
R	light_2	lighter	変化
R	light_2	lightship	まれ
R	light_2	lighting	同音
R	like	likeness	同音
R	like	likely	同音
R	like	liken	同音
R	lip	lipper	非語
R	little	littler	変化
R	live	livor	非語
R	live	livery	別語
R	long	longer	変化
R	long	longish	まれ
R	long	longing	遠縁
R	look	looker	まれ
R	loud	louder	変化
R	low	lowery	非語
R	main	mainer	非語
R	main	mainor	非語
R	man	maner	非語
R	man	manner	別語
R	man	manor	別語
R	man	manship	まれ
R	man	maness	まれ
R	man	manage	別語
R	man	manish	非語
R	many	manier	非語
R	march	marcher	同音
R	may_2	mayer	非語
R	may_2	maier	非語
R	may	mayer	非語
R	may	maier	非語
R	may	mayor	別語
R	maybe	maybee	非語
R	more	moree	非語
R	more	moral	別語
R	most	moster	非語
R	mother	moth	別語
R	mother	mothership	まれ
R	mouse	mouser	まれ
R	must	muster	別語
R	my	myer	非語
R	my	mier	非語
R	name	namer	まれ
R	new	newer	変化
R	new	newish	まれ
R	nice	nicer	変化
R	nice	nicor	非語
R	night	nighter	非語
R	nine	niner	非語
R	north	norther	まれ
R	not	notter	非語
R	not	notion	別語
R	not	notable	別語
R	not	notify	別語
R	off	offer	別語
R	old	older	変化
R	one	onion	別語
R	one	only	遠縁
R	out	outlet	複合
R	page	pager	まれ
R	park	parker	まれ
R	peach	peacher	非語
R	pen	penner	まれ
R	pet	peter	非語
R	pet	petter	まれ
R	pet	petery	非語
R	pet	pettee	非語
R	pet	petal	別語
R	pick	picker	まれ
R	pig	piggee	非語
R	pink	pinker	変化
R	please	pleaser	まれ
R	poster	posterity	まれ
R	pretty	prettier	変化
R	quick	quicker	変化
R	quiet	quieter	変化
R	quiet	quietist	まれ
R	rain	rainer	まれ
R	rainy	rainier	変化
R	read	ready	別語
R	ready	readier	変化
R	ready	read	別語
R	red	reder	非語
R	red	redder	変化
R	red	redish	非語
R	right	righter	非語
R	right	rightish	非語
R	ring	ringer	同音
R	ring_2	ringer	まれ
R	rose	roser	非語
R	round	rounder	変化
R	sad	sader	非語
R	sad	sadder	変化
R	sad	sadist	別語
R	sad	sadism	別語
R	sadly	sadlier	非語
R	sale	salary	別語
R	salty	saltier	変化
R	same	sameer	非語
R	say	sayer	まれ
R	school	schooler	非語
R	seat	seater	まれ
R	see	seery	非語
R	see	seal	別語
R	see	seed	別語
R	see	seize	別語
R	sharp	sharper	変化
R	ship	shippee	非語
R	short	shorter	変化
R	sick	sicker	変化
R	side	sider	まれ
R	side	sidor	非語
R	six	sixer	非語
R	size	sizer	まれ
R	sky	skier	別語
R	slow	slower	変化
R	small	smaller	変化
R	small	smallish	まれ
R	some	somer	非語
R	son	sonner	非語
R	song	songer	非語
R	soon	sooner	変化
R	sorry	sore	遠縁
R	south	souther	まれ
R	space	spacer	まれ
R	space	spaceship	複合
R	spoon	spooner	まれ
R	spring	springer	まれ
R	stand	stander	まれ
R	stand	standish	まれ
R	star	starer	まれ
R	star	starship	複合
R	still	stiller	変化
R	store	storer	まれ
R	street	streeter	非語
R	strong	stronger	変化
R	summer	sum	別語
R	sure	surer	変化
R	sure	surly	別語
R	sweet	sweeter	変化
R	table	tabler	非語
R	tail	tailor	別語
R	take	taker	まれ
R	tall	taller	変化
R	team	teamer	まれ
R	ten	tener	非語
R	ten	tenner	まれ
R	ten	tenor	別語
R	ten	tenable	別語
R	ten	tenant	別語
R	the	thor	非語
R	the	theism	別語
R	the	thee	別語
R	the	thing	別語
R	the	theory	別語
R	the	then	遠縁
R	thick	thicker	変化
R	time	timor	非語
R	toilet	toy	別語
R	town	towner	非語
R	toy	toilet	別語
R	train	trainor	非語
R	truck	truckee	非語
R	true	truer	変化
R	ugly	uglier	変化
R	up	uppity	まれ
R	use	usery	非語
R	warm	warmer	変化
R	warm	warmish	まれ
R	was	wasser	非語
R	watch	watcher	まれ
R	water	waterer	まれ
R	weak	weaker	変化
R	well	weller	非語
R	west	wester	まれ
R	wheel	wheeler	まれ
R	wheel	wheeless	非語
R	white	whiter	変化
R	will	willer	まれ
R	wish	wisher	まれ
R	world	worlder	非語
R	yellow	yellower	変化
R	young	younger	変化
R	your	youree	非語
R	add	adder	まれ
R	age	ager	非語
R	age	agee	非語
R	age	agent	別語
R	airport	airporter	非語
R	art	arter	非語
R	bank_2	banker	まれ
R	beach	beacher	非語
R	bench	bencher	まれ
R	bit	biter	遠縁
R	bit	bitter	遠縁
R	bowl	bowler	同音
R	brave	braver	変化
R	bright	brighter	変化
R	bye	byer	非語
R	care	career	別語
R	care	carry	別語
R	care	caress	まれ
R	carry	car	別語
R	carry	care	別語
R	cave	caver	非語
R	cave	cavity	遠縁
R	cave	cavness	非語
R	change	changer	まれ
R	chart	charter	遠縁
R	chart	chartist	まれ
R	cheap	cheaper	変化
R	check	checker	まれ
R	clear	clearer	変化
R	clever	cleverer	変化
R	coin	coiner	まれ
R	college	collegian	まれ
R	copy	copious	遠縁
R	copy	cope	別語
R	costume	costumer	まれ
R	country	count	別語
R	crazy	crazier	変化
R	cross	crosser	まれ
R	crowd	crowder	まれ
R	crown	crowner	まれ
R	cry	cryer	まれ
R	cry	crier	まれ
R	cut	cuter	別語
R	dentist	dent	別語
R	desert	deserter	同音
R	die	dier	非語
R	die	dior	非語
R	die	diery	非語
R	die	dial	別語
R	die	diary	別語
R	dinner	din	別語
R	drop	dropper	まれ
R	dry	drier	変化
R	else	elser	非語
R	fact	factor	遠縁
R	fact	factory	遠縁
R	factory	factor	遠縁
R	factory	fact	遠縁
R	fail	failor	非語
R	fall	faller	まれ
R	fall	fallish	非語
R	feed	feeder	まれ
R	few	fewer	変化
R	fine	finer	変化
R	fine	finian	非語
R	fine	finery	まれ
R	fine	finance	遠縁
R	fine	final	遠縁
R	fine	finish	遠縁
R	fit	fitter	変化
R	fix	fixer	まれ
R	fly	flier	別つづり
R	fool	foolery	まれ
R	forest	forester	まれ
R	form	former	別語
R	gain	gainer	まれ
R	gain	gainor	非語
R	gas	gasser	まれ
R	gas	gassee	非語
R	gate	gator	非語
R	gentle	gentler	変化
R	germany	germane	別語
R	glad	gladish	非語
R	glass	glasser	まれ
R	grass	grasser	まれ
R	ground	grounder	まれ
R	group	grouper	別語
R	guess	guesser	まれ
R	hall	haller	非語
R	healthy	healthier	変化
R	heavy	heavier	変化
R	hill	hiller	まれ
R	hill	hillian	非語
R	hill	hillery	非語
R	holder	holderness	非語
R	hole	holian	非語
R	hole	holness	非語
R	home	homer	まれ
R	homework	homeworker	まれ
R	hospital	hospitality	遠縁
R	inner	inn	遠縁
R	invite	invitee	まれ
R	iron	irony	別語
R	join	joiner	まれ
R	join	joinery	まれ
R	just	juster	非語
R	kill	killian	非語
R	king	kingship	まれ
R	king	kingery	非語
R	lake	laker	まれ
R	land	lander	まれ
R	land	landor	非語
R	land	landess	非語
R	laugh	laugher	まれ
R	laugh	laughery	非語
R	lazy	lazier	変化
R	leave	leaver	まれ
R	left_2	leftist	同音
R	left_2	leftism	同音
R	less	lessor	別語
R	less	lessee	別語
R	let	lettish	非語
R	lie	liable	別語
R	line	liner	まれ
R	line	linen	遠縁
R	link	linker	まれ
R	list	lister	まれ
R	list	listless	同音
R	load	loader	まれ
R	lord	lordship	まれ
R	lose	losee	非語
R	lot	lotter	まれ
R	lot	lottery	遠縁
R	luck	lucker	非語
R	lucky	luckier	変化
R	magazine	magaziner	まれ
R	mail	mailer	まれ
R	male	maler	非語
R	mark	markee	非語
R	math	mather	非語
R	mayor	may	別語
R	meal	mealer	まれ
R	meal	mealor	非語
R	mean	meaner	同音
R	mean	meanor	非語
R	mean	meanness	同音
R	mess	messer	まれ
R	mess	message	別語
R	message	mess	別語
R	million	mill	別語
R	mind	minder	まれ
R	modern	modernist	まれ
R	modern	modernism	まれ
R	mom	moment	別語
R	moment	mom	別語
R	narrow	narrower	変化
R	natural	naturalism	まれ
R	near	nearer	変化
R	near	nearhood	非語
R	neck	necker	まれ
R	noisy	noisier	変化
R	often	oftener	非語
R	once	oncor	非語
R	pack	packer	まれ
R	parade	parador	非語
R	parade	paradee	非語
R	part	partee	非語
R	pass	passer	まれ
R	pay	payer	まれ
R	pay	payee	まれ
R	place	placer	まれ
R	place	placate	別語
R	plan	planer	まれ
R	plate	plater	まれ
R	polite	political	別語
R	pond	ponder	別語
R	pool	pooler	まれ
R	poor	poorer	変化
R	pop	popper	まれ
R	post	poster	同音
R	post	posture	遠縁
R	pot	potent	別語
R	prepare	preparer	まれ
R	protect	protectee	非語
R	proud	prouder	変化
R	pull	puller	まれ
R	push	pusher	まれ
R	put	putter	別語
R	queen	queener	非語
R	question	questioner	まれ
R	question	quest	遠縁
R	quiz	quizzical	遠縁
R	race	racist	同音
R	race	racism	同音
R	rare	rarer	変化
R	rate	rater	まれ
R	rate	ratify	遠縁
R	reason	reasoner	まれ
R	repeat	repeater	まれ
R	rest	rester	まれ
R	rich	richer	変化
R	rock	rocker	同音
R	roof	roofer	まれ
R	rope	roper	まれ
R	row	rower	同音
R	rush	rusher	まれ
R	safe	safer	変化
R	safe	safian	非語
R	sail	sailer	まれ
R	salt	salter	まれ
R	sand	sander	まれ
R	sand	sandor	非語
R	sand	sandness	非語
R	sand	sandal	別語
R	save	savor	別語
R	save	savery	非語
R	save	savage	別語
R	scary	scarier	変化
R	screen	screener	まれ
R	set	setter	まれ
R	shake	shaker	まれ
R	share	sharer	まれ
R	shrine	shriner	非語
R	shy	shier	変化
R	sign	signer	まれ
R	sign	signor	非語
R	simple	simpler	変化
R	smart	smarter	変化
R	smart	smartish	まれ
R	sofa	sofaer	非語
R	soft	softer	変化
R	sort	sorter	まれ
R	sort	sortor	非語
R	sound	sounder	まれ
R	sound	soundness	同音
R	split	splitter	まれ
R	spot	spotter	まれ
R	spread	spreader	まれ
R	stage	stager	まれ
R	stamp	stamper	まれ
R	state	stater	まれ
R	state	statist	まれ
R	state	statehood	まれ
R	state	statism	まれ
R	state	station	遠縁
R	station	stationer	まれ
R	station	stationery	遠縁
R	station	state	遠縁
R	stationery	station	遠縁
R	stay	stayer	まれ
R	steel	steeler	まれ
R	stock	stocker	まれ
R	stock	stocking	遠縁
R	stone	stoner	まれ
R	storm	stormer	まれ
R	stuff	stuffer	まれ
R	stupid	stupider	変化
R	suit	suiter	非語
R	suit	suitor	遠縁
R	surface	surfaceness	非語
R	swing	swinger	まれ
R	task	tasker	まれ
R	taste	taster	まれ
R	temple	templer	非語
R	test	testor	まれ
R	throw	thrower	まれ
R	tiny	tinier	変化
R	top	topper	まれ
R	top	topor	非語
R	top	topic	別語
R	topic	top	別語
R	traditional	traditionalist	まれ
R	travel	traveller	別つづり
R	treat	treater	まれ
R	trip	tripper	まれ
R	try	trier	まれ
R	turn	turner	まれ
R	vet	vetter	非語
R	wall	waller	まれ
R	war	warship	複合
R	war	warrant	別語
R	wave	waver	遠縁
R	wear	wearer	まれ
R	wear	weary	別語
R	weekend	weekender	まれ
R	wet	wetter	変化
R	whale	whaler	まれ
R	wide	wider	変化
R	wild	wilder	変化
R	win	winer	まれ
R	win	winship	非語
R	win	windom	非語
R	win	winery	別語
R	wind	winder	同音
R	wind	windish	非語
R	windmill	windmiller	非語
R	wing	winger	まれ
R	wise	wiser	変化
R	wise	wisor	非語
R	witch	witcher	非語
R	wool	woolery	非語
R	worry	worrier	まれ
R	able	abler	変化
R	ad	ader	非語
R	ad	adder	別語
R	ad	ador	非語
R	ad	adee	非語
R	ad	adage	別語
R	adventure	adventurism	まれ
R	adventure	advent	遠縁
R	advise	advisor	別つづり
R	alarm	alarmist	まれ
R	american	americanism	まれ
R	angle	angler	同音
R	angry	angrier	変化
R	app	appian	非語
R	army	arm	別語
R	bald	balder	変化
R	bald	baldor	非語
R	bare	barish	まれ
R	bark	barker	まれ
R	base	baser	同音
R	bee	beer	別語
R	bee	bean	別語
R	bee	beery	別語
R	bee	being	別語
R	bee	been	別語
R	beg	beger	非語
R	belt	belter	まれ
R	bend	bender	まれ
R	bet	better	別語
R	bet	bettor	まれ
R	bill	biller	まれ
R	bill	billion	別語
R	bin	binner	非語
R	bite	biter	まれ
R	bitter	bit	遠縁
R	blind	blinder	まれ
R	block	blocker	まれ
R	blow	blower	まれ
R	bone	boner	まれ
R	bore	borer	同音
R	born	borner	非語
R	bottle	bottler	まれ
R	bounce	bouncer	まれ
R	bow	bower	別語
R	bow	bowery	別語
R	brick	bricker	非語
R	bridge	bridger	まれ
R	brief	briefer	変化
R	broad	broader	変化
R	bun	bunner	非語
R	burn	burness	非語
R	burn	burnish	別語
R	cabin	cabiness	非語
R	career	care	別語
R	career	careerist	まれ
R	career	careerism	非語
R	cart	carter	まれ
R	cart	cartee	非語
R	cash	casher	非語
R	cast	caster	まれ
R	cast	castor	別語
R	central	centralism	まれ
R	chest	chester	まれ
R	choice	choicer	非語
R	chop	choper	非語
R	clinic	clinician	まれ
R	comb	comber	まれ
R	comb	combee	非語
R	corn	corner	別語
R	corn	cornish	非語
R	corner	corn	別語
R	cost	coster	まれ
R	costly	costlier	変化
R	count	country	別語
R	count	countess	同音
R	couple	coupler	まれ
R	course	courser	まれ
R	cream	creamery	まれ
R	crisp	crisper	変化
R	curious	curiouser	変化
R	curl	curlee	非語
R	curl	curless	非語
R	dairy	day	別語
R	dam	damer	非語
R	dam	dammer	非語
R	dam	damian	非語
R	dam	damage	別語
R	dare	darity	非語
R	dash	dasher	まれ
R	dead	deader	変化
R	deadline	deadliness	別語
R	decide	decider	まれ
R	deck	decker	まれ
N	naturalist	nature	人物
N	teacher	teaching	人物
N	light	lightness	別意
U	terrible	terrified	terrible は物事が「ひどい・恐ろしい」。terrified は人が「おびえた・ひどく怖がった」
U	terrible	terrifying	terrible は「ひどい」（悪い・下手なことにも広く使う）。terrifying は「身の毛もよだつほど恐ろしい」で、怖さだけを言う
N	truism	truth	別意
N	movement	mover	人物
N	inside	insider	人物
N	seat	sitter	人物
N	bearish	born	別意
N	toast	toaster	別意
