phrase	phrasal	形	句の（phrasal verb＝句動詞）		/ˈfɹeɪzəl/
plant	planter	名	プランター（植木鉢）・農園主
R	sake	saker	非語
R	salary	sale	別語
R	sandal	sand	別語
R	schedule	scheduler	非語
R	seal	sealer	まれ
R	sew	sewer	別語
R	shade	shader	非語
R	shine	shiner	まれ
R	shrimp	shrimper	まれ
R	skin	skinner	まれ
R	skip	skipper	別語
R	slave	slavish	まれ
R	slice	slicer	まれ
R	slide	slider	まれ
R	slim	slimmer	変化
R	speaker	speakership	まれ
R	speed	speeder	まれ
R	speedy	speedier	変化
R	spray	sprayer	まれ
R	steady	steadier	変化
R	steal	stealer	まれ
R	steam	steamship	複合
R	step	stepper	まれ
R	sticky	stickier	変化
R	stocking	stockinger	非語
R	stocking	stock	遠縁
R	stove	stover	非語
R	straight	straighter	変化
R	strict	stricter	変化
R	string	stringer	まれ
R	success	successor	遠縁
R	success	succession	遠縁
R	such	sucher	非語
R	suck	sucker	まれ
R	tag	tager	非語
R	tan	tanner	まれ
R	tap	taper	別語
R	tap	tapper	まれ
R	tap_2	taper	別語
R	tap_2	tapper	まれ
R	tax	taxer	非語
R	temperature	temperate	遠縁
R	text	texter	非語
R	text	textor	非語
R	text	texture	遠縁
R	tie	tier	別語
R	tip	tipper	まれ
R	toe	toity	非語
R	toe	toy	別語
R	ton	toner	別語
R	ton	tonner	非語
R	ton	tonic	別語
R	transport	transporter	まれ
R	tray	trayer	非語
R	tube	tuber	別語
R	type	typist	まれ
R	union	unionist	まれ
R	union	unionism	まれ
R	urban	urbanism	まれ
R	van	vaness	非語
R	van	vanness	非語
R	van	vanity	別語
R	van	vanish	別語
R	vanish	van	別語
R	vest	vester	非語
R	victim	victimhood	まれ
R	volunteer	volunteerism	まれ
R	wagon	wagoner	まれ
R	waste	waster	まれ
R	well_2	weller	非語
R	well_2	wellness	同音
R	wink	winker	まれ
U	shameful	shameless	shameful は物事が「恥ずべき・不名誉な」。shameless は人が「恥知らずな・ずうずうしい」
U	spark	sparkle	spark は「火花（を散らす）・（出来事を）引き起こす」。sparkle は「きらきら輝く・きらめく」
N	presidency	president	人物
