zip	zipper	名	ファスナー・チャック
N	condition	conditioner	別意
N	conductivity	conductor	別意
N	conduction	conductor	別意
N	confidence	confidentiality	別意
N	congress	congressman	人物
connect	connector	名	コネクター・接続部品
N	consumer	consumption	人物
consumer	consumerism	名	消費主義・消費者中心主義
N	consumer	consumerism	人物
N	consumerism	consumption	別意
convert	converter	名	変換器・コンバーター
N	court	courtesy	別意
crack	cracker	名	クラッカー・（ハッカーの）侵入者
craft	craftsman	名	職人・名工
craft	craftsmanship	名	職人の技能・出来ばえ
N	craft	craftsman	人物
N	craftsman	craftsmanship	人物
N	creation	creativity	別意
N	creation	creator	人物
U	creation	creature	creation は「創造・創作物」。creature は「生き物」（造られたもの）で、どちらも create から来た語
N	creativity	creator	人物
N	creativity	creature	別意
N	creator	creature	人物
R	absolute	absolutist	まれ
R	absolute	absolutism	まれ
R	absolute	absolution	遠縁
R	absorb	absorber	まれ
R	accuse	accuser	まれ
R	ache	achor	非語
R	ache	achee	非語
R	activate	activator	まれ
R	adapt	adaptor	別つづり
R	adjust	adjuster	まれ
R	advance	advancer	まれ
R	amateur	amateurism	まれ
R	amateur	amateurish	まれ
R	appoint	appointee	まれ
R	assess	assessor	まれ
R	author	authorship	まれ
R	author	authority	遠縁
R	balance	balancer	まれ
R	ban	banner	別語
R	ban	banal	遠縁
R	ban	banish	遠縁
R	bargain	bargainer	まれ
R	bark_2	barker	同音
R	barn	barner	非語
R	barn	barnish	非語
R	battle	battleship	複合
R	beat	beater	まれ
R	billion	bill	別語
R	blow_2	blower	同音
R	board	boarder	まれ
R	bob	bober	非語
R	bob	bobber	まれ
R	bold	bolder	変化
R	bond	bondage	遠縁
R	bother	both	別語
R	bound	bounder	まれ
R	bound	boundless	同音
R	bound	boundary	同音
R	bound_2	bounder	まれ
R	bound_2	boundless	同音
R	bound_2	boundary	同音
R	brain	brainer	非語
R	brake	braker	非語
R	brand	brander	非語
R	brand	brandish	遠縁
R	breath	breather	まれ
R	breathe	breather	まれ
R	breed	breeder	まれ
R	bug	bugger	まれ
R	cable	cabler	非語
R	calm	calmer	変化
R	capable	cape	別語
R	cause	causer	まれ
R	cell	cellist	別語
R	challenge	challengery	非語
R	chance	chancery	別語
R	charm	charmer	まれ
R	charm	charmian	非語
R	chase	chaser	まれ
R	chew	chewer	まれ
R	chill	chiller	まれ
R	chilly	chillier	変化
R	clap	clapper	まれ
R	classic	classicist	まれ
R	click	clicker	まれ
R	clip_2	clipper	同音
R	code	coder	まれ
R	comfort	comforter	まれ
R	comment	commenter	まれ
R	commercial	commercialism	まれ
R	commit	commitee	非語
R	communicate	communicator	まれ
R	compact	compactor	まれ
R	comply	compliment	遠縁
R	connect	connecter	別つづり
R	construct	constructor	まれ
R	consumer	consumerist	まれ
R	convey	conveyer	別つづり
R	cope	copy	別語
R	cord	corder	非語
R	core	coral	別語
R	court	courter	非語
R	court	courtship	まれ
R	crawl	crawler	まれ
R	creation	creationism	まれ
R	criminal	criminalist	まれ
R	criminal	criminality	まれ
R	crop	cropper	まれ
R	cultural	culturalism	まれ
R	cure	curry	別語
R	damage	dam	別語
R	damp	damper	まれ
N	challenge	challenger	人物
N	attendee	attention	人物
N	crack	cracker	別意
N	advertisement	advertiser	人物
N	achievement	achiever	人物
N	ad	advertiser	人物
U	ashamed	shameless	ashamed は「恥じて」（自分のしたことを恥ずかしく思う）。shameless は「恥知らずな」（恥ずかしいことを平気でする）
N	announcement	announcer	人物
U	completeness	completion	completion は「完成・修了」（仕上げること）。completeness は「完全さ・漏れのなさ」（欠けていない状態）
N	blend	blender	別意
N	admiration	admirer	人物
N	bump	bumper	別意
N	craft	craftsmanship	別意
N	attendance	attendee	人物
