goddess	god	名	神
R	material	materiality	まれ
R	merit	meritor	非語
R	method	methodist	非語
R	method	methodism	非語
R	mild	milder	変化
R	mill	miller	まれ
R	mill	million	別語
R	mobile	mobiler	非語
R	mode	moder	非語
R	mode	modify	遠縁
R	modify	mode	遠縁
R	mold_2	molder	同音
R	monarch	monarchist	まれ
R	motivate	motivator	まれ
R	motor	motorist	まれ
R	native	nativist	まれ
R	native	nativism	まれ
R	net	netter	非語
R	neutral	neutralist	まれ
R	neutral	neutralism	まれ
N	importance	importer	人物
N	liberalism	liberty	別意
U	life	livelihood	life は「生命・生活・人生」。livelihood は「生計・暮らしの手段」（生活費を得る方法）
