senator	senate	名	上院・（古代ローマの）元老院
R	tip_2	tipper	まれ
R	tone	tonic	遠縁
R	tough	tougher	変化
R	transmit	transmitter	まれ
R	trap	trapper	まれ
R	trap	trappist	非語
R	trim	trimmer	まれ
R	troop	trooper	まれ
R	undertake	undertaker	遠縁
R	vibrate	vibrator	まれ
R	violate	violator	まれ
R	warn	warner	非語
R	wealthy	wealthier	変化
R	whisper	whisperer	まれ
R	whistle	whistler	まれ
R	widen	widener	非語
R	willing	willinger	非語
R	witness	wit	遠縁
R	worship	worshiper	まれ
R	wreck	wrecker	まれ
R	yawn	yawner	非語
R	academic	academician	まれ
N	sensational	sensible	別意
N	sensational	sensitive	別意
N	sensational	sensory	別意
N	sensational	sensual	別意
N	sufferer	suffering	人物
N	universality	university	別意
